Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2022;Maggiore - Musocco;Femmine;19;19;19
2022;Maggiore - Musocco;Maschi;24;24;24
2022;Mecenate;Femmine;146;146;146
2022;Mecenate;Maschi;120;120;120
2022;Navigli;Femmine;74;74;74
2022;Navigli;Maschi;58;58;58
2022;Niguarda - Cà Granda;Femmine;238;238;238
2022;Niguarda - Cà Granda;Maschi;198;197;197
2022;Ortomercato;Femmine;20;20;20
2022;Ortomercato;Maschi;13;13;13
2022;Padova;Femmine;199;197;194
2022;Padova;Maschi;169;166;166
2022;Pagano;Femmine;86;85;85
2022;Pagano;Maschi;75;74;74
2022;Parco Lambro - Cimiano;Femmine;145;145;145
2022;Parco Lambro - Cimiano;Maschi;110;110;110
2022;Parco Monlué - Ponte Lambro;Femmine;6;6;6
2022;Parco Monlué - Ponte Lambro;Maschi;4;4;4
2022;Porta Romana;Femmine;70;70;70
2022;Porta Romana;Maschi;61;62;62
2022;Portello;Femmine;45;45;45
2022;Portello;Maschi;38;38;38
2022;QT 8;Femmine;25;25;25
2022;QT 8;Maschi;18;18;18
2022;Quarto Cagnino;Femmine;39;39;39
2022;Quarto Cagnino;Maschi;45;45;45
2022;Quarto Oggiaro;Femmine;188;188;188
2022;Quarto Oggiaro;Maschi;153;152;152
2022;Quinto Romano;Femmine;19;19;19
2022;Quinto Romano;Maschi;14;14;14
2022;Ripamonti;Femmine;53;53;53
2022;Ripamonti;Maschi;61;61;61
2022;Rogoredo;Femmine;26;26;26
2022;Rogoredo;Maschi;17;17;17
2022;Ronchetto S/N;Femmine;70;70;70
2022;Ronchetto S/N;Maschi;78;77;77
2022;S. Cristoforo;Femmine;62;62;62
2022;S. Cristoforo;Maschi;59;59;59
2022;S. Siro;Femmine;50;50;50
2022;S. Siro;Maschi;59;58;58
2022;Sarpi;Femmine;158;158;157
2022;Sarpi;Maschi;119;119;118
2022;Scalo Romana;Femmine;29;29;29
2022;Scalo Romana;Maschi;36;36;36
2022;Selinunte;Femmine;150;150;150
2022;Selinunte;Maschi;104;104;104
2022;Stadera;Femmine;180;180;180
2022;Stadera;Maschi;145;145;144
2022;Tibaldi;Femmine;66;66;66
2022;Tibaldi;Maschi;60;60;60
2022;Ticinese;Femmine;88;88;88
2022;Ticinese;Maschi;79;80;80
2022;Tortona;Femmine;76;76;76
2022;Tortona;Maschi;71;71;71
2022;Trenno;Femmine;15;14;14
2022;Trenno;Maschi;18;18;18
2022;Umbria - Molise;Femmine;122;121;121
2022;Umbria - Molise;Maschi;94;94;94
2022;Vigentina;Femmine;72;72;72
2022;Vigentina;Maschi;65;65;65
2022;Villapizzone;Femmine;225;226;225
2022;Villapizzone;Maschi;180;178;178
2022;Vle Monza;Femmine;142;142;142
