"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Turkmenistan";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3,00;3,00;1,00;1,00;1,00;4,00;4,00;6,00;6,00;4,00;4,00;4,00;5,00;4,00;5,00;5,00;4,00
"Tuvalu";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Ucraina";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3,00;20,00;46,00;68,00;132,00;241,00;309,00;567,00;2092,00;2955,00;3492,00;3631,00;3918,00;4788,00;5728,00;6913,00;7820,00;7951,00;7966,00
"Uganda";4,00;3,00;4,00;8,00;10,00;7,00;3,00;1,00;1,00;1,00;1,00;1,00;7,00;0,00;3,00;4,00;6,00;6,00;7,00;10,00;8,00;11,00;9,00;9,00;6,00;8,00;7,00;12,00;14,00;15,00;14,00;14,00;13,00;13,00;14,00;16,00
"Ungheria";158,00;158,00;162,00;165,00;203,00;201,00;203,00;202,00;171,00;177,00;167,00;154,00;78,00;0,00;156,00;166,00;161,00;165,00;169,00;168,00;163,00;180,00;187,00;184,00;98,00;112,00;132,00;144,00;156,00;167,00;186,00;192,00;205,00;220,00;206,00;204,00
"Uruguay";82,00;86,00;91,00;93,00;89,00;89,00;83,00;76,00;106,00;116,00;114,00;175,00;125,00;0,00;208,00;213,00;208,00;208,00;215,00;243,00;239,00;251,00;272,00;252,00;129,00;149,00;173,00;167,00;177,00;168,00;178,00;180,00;193,00;207,00;191,00;121,00
"Uzbekistan";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;4,00;5,00;6,00;9,00;9,00;11,00;16,00;15,00;18,00;19,00;16,00;19,00;25,00;21,00;30,00;34,00;37,00
"Venezuela";76,00;76,00;78,00;104,00;123,00;104,00;106,00;106,00;96,00;91,00;87,00;91,00;83,00;0,00;123,00;122,00;124,00;129,00;135,00;157,00;170,00;204,00;231,00;228,00;164,00;206,00;236,00;252,00;241,00;248,00;283,00;303,00;316,00;358,00;355,00;343,00
"Vietnam";49,00;54,00;61,00;70,00;79,00;73,00;74,00;67,00;46,00;46,00;45,00;41,00;18,00;0,00;43,00;45,00;40,00;38,00;4,00;4,00;27,00;28,00;30,00;23,00;5,00;8,00;9,00;10,00;16,00;14,00;23,00;24,00;24,00;22,00;22,00;21,00
"Yemen";1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;4,00;4,00;4,00;5,00;3,00;0,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;7,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;5,00;1,00;1,00;0,00
"Zambia";4,00;5,00;5,00;5,00;5,00;2,00;2,00;3,00;2,00;2,00;3,00;3,00;0,00;0,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;1,00;1,00;1,00;1,00;2,00;5,00;5,00;4,00;6,00;8,00;10,00;9,00
"Zimbabwe (Rhodesia)";4,00;2,00;2,00;3,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;1,00;2,00;1,00;2,00;3,00;3,00;3,00;3,00;3,00;2,00;0,00;1,00;2,00;2,00;2,00;3,00;5,00;6,00;5,00;9,00;9,00;9,00
