"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Cambogia";1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;10,00;7,00;0,00;0,00;1,00;0,00;0,00;1,00
"Camerun";4,00;4,00;6,00;7,00;12,00;16,00;19,00;18,00;33,00;35,00;33,00;38,00;13,00;0,00;64,00;78,00;83,00;91,00;100,00;107,00;117,00;119,00;133,00;140,00;93,00;119,00;168,00;200,00;205,00;207,00;258,00;316,00;318,00;351,00;377,00;345,00
"Canada";73,00;69,00;70,00;87,00;106,00;113,00;116,00;115,00;128,00;136,00;130,00;128,00;72,00;0,00;150,00;156,00;186,00;184,00;185,00;200,00;204,00;212,00;228,00;227,00;127,00;136,00;153,00;154,00;157,00;156,00;164,00;173,00;178,00;199,00;198,00;146,00
"Capo Verde";3,00;5,00;23,00;40,00;44,00;57,00;64,00;66,00;65,00;69,00;71,00;78,00;45,00;0,00;81,00;92,00;108,00;114,00;115,00;124,00;131,00;142,00;162,00;170,00;145,00;174,00;192,00;203,00;199,00;197,00;194,00;194,00;190,00;187,00;179,00;159,00
"Ceca, Rep.";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;170,00;179,00;187,00;187,00;187,00;207,00;209,00;108,00;119,00;138,00;145,00;157,00;162,00;177,00;179,00;194,00;223,00;204,00;171,00
"Cecoslovacchia";31,00;27,00;37,00;40,00;99,00;101,00;100,00;117,00;84,00;96,00;110,00;114,00;88,00;0,00;140,00;155,00;171,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Centrafricana Rep.";2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;1,00;1,00;1,00;2,00;4,00;0,00;2,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;3,00;3,00;2,00;1,00;1,00;2,00;1,00;3,00;4,00;3,00;5,00;5,00;6,00;6,00
"Ciad";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;4,00;4,00;5,00;3,00;7,00;7,00;8,00;7,00;9,00;10,00;10,00;9,00;14,00;13,00;13,00
"Cile";97,00;105,00;133,00;138,00;169,00;160,00;136,00;134,00;131,00;136,00;151,00;164,00;133,00;0,00;208,00;207,00;216,00;219,00;240,00;261,00;269,00;293,00;319,00;293,00;209,00;237,00;260,00;271,00;280,00;285,00;299,00;309,00;332,00;370,00;350,00;292,00
"Cinese, Repubblica Popolare";166,00;152,00;194,00;278,00;456,00;500,00;531,00;580,00;1069,00;1508,00;1594,00;1892,00;983,00;2793,00;3079,00;3284,00;3576,00;3878,00;5038,00;6931,00;7516,00;8675,00;10296,00;10947,00;9301,00;11529,00;13110,00;14039,00;14736,00;15259,00;17201,00;18946,00;20852,00;23967,00;25062,00;25928,00
