Anno evento;Genere;Eta decesso;Cittadinanza;Luogo residenza;Numerosità
2003;Femmine;71;Italia;Milano;82
2003;Femmine;72;Italia;Altro comune italiano;15
2003;Femmine;72;Italia;Milano;117
2003;Femmine;73;Italia;Altro comune italiano;27
2003;Femmine;73;Italia;Milano;106
2003;Femmine;73;Somalia;Estero;1
2003;Femmine;74;Canada;Milano;1
2003;Femmine;74;Italia;Altro comune italiano;32
2003;Femmine;74;Italia;Estero;1
2003;Femmine;74;Italia;Milano;127
2003;Femmine;75;Italia;Altro comune italiano;28
2003;Femmine;75;Italia;Estero;1
2003;Femmine;75;Italia;Milano;137
2003;Femmine;76;Italia;Altro comune italiano;21
2003;Femmine;76;Italia;Milano;137
2003;Femmine;77;Italia;Altro comune italiano;35
2003;Femmine;77;Italia;Estero;1
2003;Femmine;77;Italia;Milano;153
2003;Femmine;78;Italia;Altro comune italiano;33
2003;Femmine;78;Italia;Estero;2
2003;Femmine;78;Italia;Milano;160
2003;Femmine;79;Italia;Altro comune italiano;47
2003;Femmine;79;Italia;Milano;187
2003;Femmine;80;Italia;Altro comune italiano;37
2003;Femmine;80;Italia;Estero;1
2003;Femmine;80;Italia;Milano;208
2003;Femmine;81;Italia;Altro comune italiano;36
2003;Femmine;81;Italia;Milano;253
2003;Femmine;82;Italia;Altro comune italiano;38
2003;Femmine;82;Italia;Milano;266
2003;Femmine;83;Italia;Altro comune italiano;34
2003;Femmine;83;Italia;Estero;1
2003;Femmine;83;Italia;Milano;245
2003;Femmine;84;Italia;Altro comune italiano;28
2003;Femmine;84;Italia;Estero;1
2003;Femmine;84;Italia;Milano;148
2003;Femmine;85;Italia;Altro comune italiano;20
2003;Femmine;85;Italia;Milano;150
2003;Femmine;86;Germania;Estero;1
2003;Femmine;86;Italia;Altro comune italiano;15
2003;Femmine;86;Italia;Milano;186
2003;Femmine;86;Svizzera;Milano;1
2003;Femmine;87;Italia;Altro comune italiano;34
2003;Femmine;87;Italia;Milano;239
2003;Femmine;88;Italia;Altro comune italiano;49
2003;Femmine;88;Italia;Estero;1
2003;Femmine;88;Italia;Milano;266
2003;Femmine;89;Italia;Altro comune italiano;35
2003;Femmine;89;Italia;Milano;275
2003;Femmine;90;Italia;Altro comune italiano;17
2003;Femmine;90;Italia;Milano;248
2003;Femmine;91;Italia;Altro comune italiano;26
2003;Femmine;91;Italia;Milano;253
2003;Femmine;92;Italia;Altro comune italiano;23
2003;Femmine;92;Italia;Milano;218
2003;Femmine;93;Italia;Altro comune italiano;20
2003;Femmine;93;Italia;Milano;198
2003;Femmine;94;Italia;Altro comune italiano;13
2003;Femmine;94;Italia;Milano;158
2003;Femmine;95;Germania;Estero;1
2003;Femmine;95;Italia;Altro comune italiano;10
2003;Femmine;95;Italia;Estero;1
2003;Femmine;95;Italia;Milano;138
2003;Femmine;96;Italia;Altro comune italiano;11
2003;Femmine;96;Italia;Milano;103
2003;Femmine;97;Italia;Altro comune italiano;4
2003;Femmine;97;Italia;Milano;86
2003;Femmine;98;Italia;Altro comune italiano;2
2003;Femmine;98;Italia;Milano;62
2003;Femmine;99;Italia;Altro comune italiano;5
2003;Femmine;99;Italia;Milano;39
2003;Femmine;100;Austria;Milano;1
2003;Femmine;100;Italia;Altro comune italiano;3
2003;Femmine;100;Italia;Milano;31
2003;Femmine;101;Italia;Altro comune italiano;3
2003;Femmine;101;Italia;Milano;24
2003;Femmine;102;Italia;Altro comune italiano;1
2003;Femmine;102;Italia;Milano;8
2003;Femmine;103;Italia;Milano;10
2003;Femmine;104;Italia;Altro comune italiano;1
2003;Femmine;104;Italia;Milano;6
2003;Femmine;105;Italia;Altro comune italiano;2
2003;Femmine;105;Italia;Milano;6
2003;Femmine;106;Italia;Altro comune italiano;1
2003;Maschi;0;Egitto;Estero;1
2003;Maschi;0;Filippine;Milano;1
2003;Maschi;0;Italia;Altro comune italiano;42
2003;Maschi;0;Italia;Estero;2
2003;Maschi;0;Italia;Milano;27
2003;Maschi;0;Sri Lanka (ex Ceylon);Milano;1
2003;Maschi;1;Italia;Altro comune italiano;2
2003;Maschi;1;Italia;Milano;2
2003;Maschi;2;Italia;Milano;2
2003;Maschi;4;Italia;Altro comune italiano;1
2003;Maschi;5;Italia;Altro comune italiano;3
2003;Maschi;6;Italia;Altro comune italiano;2
2003;Maschi;7;Italia;Altro comune italiano;1
2003;Maschi;9;Italia;Altro comune italiano;2
2003;Maschi;9;Italia;Milano;1
2003;Maschi;10;Italia;Milano;1
2003;Maschi;12;Italia;Milano;1
2003;Maschi;14;Italia;Milano;1
2003;Maschi;16;Italia;Altro comune italiano;1
2003;Maschi;17;Albania;Estero;1
2003;Maschi;17;Italia;Milano;3
2003;Maschi;18;Italia;Altro comune italiano;1
2003;Maschi;19;Italia;Altro comune italiano;1
2003;Maschi;19;Italia;Milano;1
2003;Maschi;20;Cinese, Repubblica Popolare;Estero;1
2003;Maschi;20;Italia;Altro comune italiano;4
2003;Maschi;21;Italia;Altro comune italiano;2
2003;Maschi;21;Italia;Milano;1
2003;Maschi;22;Italia;Altro comune italiano;1
2003;Maschi;22;Moldova;Estero;1
2003;Maschi;23;Italia;Altro comune italiano;4
2003;Maschi;23;Italia;Milano;1
2003;Maschi;23;Marocco;Altro comune italiano;2
2003;Maschi;24;Ecuador;Altro comune italiano;1
2003;Maschi;24;Italia;Altro comune italiano;2
2003;Maschi;24;Italia;Milano;4
2003;Maschi;25;Italia;Altro comune italiano;1
2003;Maschi;25;Italia;Milano;5
2003;Maschi;25;Marocco;Milano;1
2003;Maschi;26;Albania;Estero;1
2003;Maschi;26;Albania;Milano;1
2003;Maschi;26;Brasile;Milano;1
2003;Maschi;26;Dominicana, Repubblica;Milano;1
2003;Maschi;26;Italia;Altro comune italiano;3
2003;Maschi;26;Italia;Milano;4
2003;Maschi;26;Ucraina;Estero;1
2003;Maschi;27;Albania;Estero;1
2003;Maschi;27;Brasile;Estero;1
2003;Maschi;27;Cinese, Repubblica Popolare;Estero;1
2003;Maschi;27;Egitto;Estero;1
2003;Maschi;27;Italia;Altro comune italiano;7
2003;Maschi;27;Italia;Milano;3
2003;Maschi;28;Bangladesh;Milano;1
2003;Maschi;28;Italia;Estero;1
2003;Maschi;28;Italia;Milano;5
2003;Maschi;28;Marocco;Estero;1
2003;Maschi;28;Perù;Estero;1
2003;Maschi;29;Ecuador;Estero;1
2003;Maschi;29;Italia;Altro comune italiano;3
2003;Maschi;29;Italia;Milano;1
2003;Maschi;29;Marocco;Estero;1
2003;Maschi;30;Brasile;Milano;1
2003;Maschi;30;Italia;Altro comune italiano;4
2003;Maschi;30;Italia;Milano;11
2003;Maschi;30;Marocco;Milano;1
2003;Maschi;31;Ecuador;Estero;1
2003;Maschi;31;Italia;Altro comune italiano;3
2003;Maschi;31;Italia;Milano;5
2003;Maschi;32;Italia;Altro comune italiano;10
2003;Maschi;32;Italia;Estero;2
2003;Maschi;32;Italia;Milano;4
2003;Maschi;33;Algeria;Estero;1
2003;Maschi;33;Gambia;Milano;1
2003;Maschi;33;Italia;Altro comune italiano;6
2003;Maschi;33;Italia;Estero;1
2003;Maschi;33;Italia;Milano;4
2003;Maschi;33;Jugoslavia;Estero;1
2003;Maschi;33;Perù;Estero;1
2003;Maschi;34;Costa d'Avorio;Milano;1
2003;Maschi;34;Egitto;Estero;1
2003;Maschi;34;Italia;Altro comune italiano;9
2003;Maschi;34;Italia;Estero;1
2003;Maschi;34;Italia;Milano;5
2003;Maschi;34;Liberia;Estero;1
